Input URL (Ahrefs Target),Effective URL (Source Used),Mapping Method,GA4 In Export,GA4 Views,GA4 Engaged sessions,GSC In Export,GSC Impressions,GSC Clicks,GSC Position,Ahrefs Live Ref Domains,Ahrefs Live Rows,Ahrefs Dofollow,Ahrefs Nofollow,Ahrefs Spam-flagged,Ahrefs Quality-weighted,Ahrefs Lost Rows,Ahrefs Flags,Core Hub Target (Suggested),Core Hub Determination,Included Because,Suggested Anchor Text (Assigned)
https://www.sterlinglawyers.com/wisconsin/blog/methods-marketing-firm/,https://www.sterlinglawyers.com/wisconsin/blog/methods-marketing-firm/,input,False,,,False,,,,3,3,0,3,0,1.5,1,lost_rows=1;redirect_chain,https://www.sterlinglawyers.com/wisconsin/divorce/,Implementation file (Suggested Target URL),Ahrefs Top20; Extra (forced),help with a divorce in Wisconsin
https://www.sterlinglawyers.com/wisconsin/blog/do-the-court-records-from-a-divorce-become-public-record/,https://www.sterlinglawyers.com/wisconsin/divorce/do-the-court-records-from-a-divorce-become-public-record/,gsc_non_blog_slug_match,True,65.0,31.0,True,7305.0,31.0,30.12,2,4,4,0,4,0.8,0,redirect_chain;target_differs,https://www.sterlinglawyers.com/wisconsin/divorce/,Implementation file (Suggested Target URL),GA4 Top30; GSC Top20; Extra (forced),getting divorced in Wisconsin
https://www.sterlinglawyers.com/wisconsin/blog/leaving-ex-family-business/,https://www.sterlinglawyers.com/wisconsin/property-division/leaving-ex-family-business/,gsc_non_blog_slug_match,True,170.0,81.0,True,1892.0,13.0,14.46,1,1,1,0,0,1.0,0,,https://www.sterlinglawyers.com/wisconsin/property-division/,Implementation file (Suggested Target URL),GA4 Top30; GSC Top20; Extra (forced),help protecting property interests
https://www.sterlinglawyers.com/wisconsin/blog/sex-after-separation/,https://www.sterlinglawyers.com/wisconsin/divorce/sex-after-separation/,gsc_non_blog_slug_match,True,8098.0,3795.0,True,193914.0,4181.0,5.06,1,1,1,0,0,1.0,1,lost_rows=1;redirect_chain;target_differs,https://www.sterlinglawyers.com/wisconsin/divorce/,Implementation file (Suggested Target URL),GA4 Top30; GSC Top20; Extra (forced),how divorce works in Wisconsin
https://www.sterlinglawyers.com/wisconsin/blog/being-your-childs-support-system/,https://www.sterlinglawyers.com/wisconsin/divorce/being-your-childs-support-system/,gsc_non_blog_slug_match,True,4.0,2.0,True,26.0,1.0,17.62,1,2,2,0,2,0.4,0,redirect_chain;target_differs,https://www.sterlinglawyers.com/wisconsin/divorce/,Implementation file (Suggested Target URL),Extra (forced),contested divorce in Wisconsin
https://www.sterlinglawyers.com/wisconsin/blog/can-prenup-presiding-event-death-exercised-divorce/,https://www.sterlinglawyers.com/wisconsin/blog/can-prenup-presiding-event-death-exercised-divorce/,input,False,,,False,,,,1,2,2,0,2,0.4,0,,https://www.sterlinglawyers.com/wisconsin/divorce/,Implementation file (Suggested Target URL),Ahrefs Top20; Extra (forced),Wisconsin divorce
https://www.sterlinglawyers.com/wisconsin/blog/divorce-and-the-cobra-act/,https://www.sterlinglawyers.com/wisconsin/divorce/divorce-and-the-cobra-act/,gsc_non_blog_slug_match,True,18.0,9.0,True,1076.0,7.0,29.72,1,2,2,0,2,0.4,0,redirect_chain;target_differs,https://www.sterlinglawyers.com/wisconsin/divorce/,Implementation file (Suggested Target URL),GSC Top20; Extra (forced),Wisconsin divorce attorneys
https://www.sterlinglawyers.com/wisconsin/blog/annulments-work-wisconsin/,https://www.sterlinglawyers.com/wisconsin/blog/annulments-work-wisconsin/,input,False,,,False,,,,1,1,1,0,1,0.2,0,,https://www.sterlinglawyers.com/wisconsin/divorce/,Implementation file (Suggested Target URL),Ahrefs Top20; Extra (forced),divorce attorney
https://www.sterlinglawyers.com/wisconsin/blog/can-claim-sons-life-insurance-knowing-wanted/,https://www.sterlinglawyers.com/wisconsin/blog/can-claim-sons-life-insurance-knowing-wanted/,input,False,,,False,,,,1,1,1,0,1,0.2,0,,https://www.sterlinglawyers.com/wisconsin/divorce/,Implementation file (Suggested Target URL),Ahrefs Top20; Extra (forced),divorce in Wisconsin
https://www.sterlinglawyers.com/wisconsin/blog/creating-wisconsin-parenting-plan/,https://www.sterlinglawyers.com/wisconsin/child-custody/parenting-plan/,gsc_parenting_plan,True,8636.0,3984.0,True,68424.0,850.0,31.74,1,1,1,0,1,0.2,1,lost_rows=1,https://www.sterlinglawyers.com/wisconsin/child-custody/,Implementation file (Suggested Target URL),GA4 Top30; GSC Top20; Extra (forced),child custody and placement decisions
